id,date,online_hours
111556,2017-06-01,2.2
111556,2017-06-02,2.5
111556,2017-06-03,0.0
111556,2017-06-04,0.0
111556,2017-06-05,4.7
111556,2017-06-06,3.2
111556,2017-06-07,2.7
111556,2017-06-08,3.2
111556,2017-06-09,4.5
111556,2017-06-10,0.0
111556,2017-06-11,0.0
111556,2017-06-12,3.8
111556,2017-06-13,4.4
111556,2017-06-14,2.0
111556,2017-06-15,1.1
111556,2017-06-16,0.0
111556,2017-06-17,0.0
111556,2017-06-18,0.0
111556,2017-06-19,0.6
111556,2017-06-20,2.2
111556,2017-06-21,3.1
111575,2017-06-01,7.1
111575,2017-06-02,0.0
111575,2017-06-03,0.0
111575,2017-06-04,0.0
111575,2017-06-05,4.2
111575,2017-06-06,7.4
111575,2017-06-07,8.8
111575,2017-06-08,6.0
111575,2017-06-09,0.0
111575,2017-06-10,0.0
111575,2017-06-11,0.0
111575,2017-06-12,6.9
111575,2017-06-13,7.5
111575,2017-06-14,7.5
111575,2017-06-15,7.3
111575,2017-06-16,0.0
111575,2017-06-17,0.0
111575,2017-06-18,0.0
111575,2017-06-19,9.8
111575,2017-06-20,8.3
111575,2017-06-21,6.2
111779,2017-06-01,3.8
111779,2017-06-02,3.7
111779,2017-06-03,0.0
111779,2017-06-04,0.0
111779,2017-06-05,0.0
111779,2017-06-06,3.6
111779,2017-06-07,1.9
111779,2017-06-08,4.6
111779,2017-06-09,1.7
111779,2017-06-10,0.0
111779,2017-06-11,0.0
111779,2017-06-12,0.0
111779,2017-06-13,2.3
111779,2017-06-14,5.3
111779,2017-06-15,1.9
111779,2017-06-16,4.5
111779,2017-06-17,0.0
111779,2017-06-18,0.0
111779,2017-06-19,0.0
111779,2017-06-20,3.6
111779,2017-06-21,4.2
111839,2017-06-01,6.0
111839,2017-06-02,9.3
111839,2017-06-03,8.5
111839,2017-06-04,8.3
111839,2017-06-05,9.7
111839,2017-06-06,7.1
111839,2017-06-07,7.1
111839,2017-06-08,5.4
111839,2017-06-09,7.0
111839,2017-06-10,8.8
111839,2017-06-11,8.5
111839,2017-06-12,7.1
111839,2017-06-13,5.4
111839,2017-06-14,7.4
111839,2017-06-15,6.6
111839,2017-06-16,8.0
111839,2017-06-17,9.0
111839,2017-06-18,7.0
111839,2017-06-19,6.9
111839,2017-06-20,9.4
111839,2017-06-21,5.8
112486,2017-06-01,3.2
112486,2017-06-02,3.9
112486,2017-06-03,0.0
112486,2017-06-04,0.0
112486,2017-06-05,5.0
112486,2017-06-06,5.1
112486,2017-06-07,1.4
112486,2017-06-08,4.4
112486,2017-06-09,4.2
112486,2017-06-10,0.0
112486,2017-06-11,0.0
112486,2017-06-12,1.6
112486,2017-06-13,0.5
112486,2017-06-14,2.5
112486,2017-06-15,1.8
112486,2017-06-16,3.8
112486,2017-06-17,0.0
112486,2017-06-18,0.0
112486,2017-06-19,2.8
112486,2017-06-20,4.4
112486,2017-06-21,5.3
112609,2017-06-01,8.6
112609,2017-06-02,6.6
112609,2017-06-03,5.4
112609,2017-06-04,6.8
112609,2017-06-05,5.3
112609,2017-06-06,7.6
112609,2017-06-07,5.0
112609,2017-06-08,4.4
112609,2017-06-09,4.8
112609,2017-06-10,0.0
112609,2017-06-11,5.6
112609,2017-06-12,5.9
112609,2017-06-13,4.8
112609,2017-06-14,3.9
112609,2017-06-15,7.7
112609,2017-06-16,7.1
112609,2017-06-17,6.9
112609,2017-06-18,3.9
112609,2017-06-19,5.0
112609,2017-06-20,6.2
112609,2017-06-21,4.1
112698,2017-06-01,0.9
112698,2017-06-02,2.5
112698,2017-06-03,0.0
112698,2017-06-04,6.6
112698,2017-06-05,0.9
112698,2017-06-06,4.6
112698,2017-06-07,5.4
112698,2017-06-08,0.0
112698,2017-06-09,4.6
112698,2017-06-10,0.0
112698,2017-06-11,6.1
112698,2017-06-12,1.9
112698,2017-06-13,4.4
112698,2017-06-14,1.8
112698,2017-06-15,4.1
112698,2017-06-16,3.8
112698,2017-06-17,0.0
112698,2017-06-18,7.2
